"","X1","X2","X3"
"479","T<U+0395>RGU OCNA",NA,NA
"480","TANACU, COM. TANACU",NA,NA
"481","TARATEL","46.1202553","22.8306183"
"482","TARGOVISTE","44.9267709","25.462816"
"483","TARGU JIU","45.0422947","23.2728118"
"484","TÂRGU JIU","45.0422947","23.2728118"
"485","TÂRGU LAPUS","47.4535458","23.8646852"
"486","TARGU MURES","46.5446244","24.5611947"
"487","TÂRGU MURES","46.5446244","24.5611947"
"488","TARGU OCNA","46.2801933","26.6095512"
"489","TÂRGU SECUIESC","45.9988969","26.1353123"
"490","TARINA","46.312992","23.1251841"
"491","TÂRNAVA","46.1728517","23.7932915"
"492","TÂRNAVENI","46.3295278","24.2804126"
"493","TARTASESTI","44.5771423","25.8169327"
"494","TASNAD","47.4780916","22.5848552"
"495","TAUTII-MAGHERAUS","47.6659652","23.467985"
"496","TAUTII MAGHERAUS","47.6659652","23.467985"
"497","TAZLAU, COM. TAZLAU",NA,NA
"498","TECHIRGHIOL","44.0555067","28.5998797"
"499","TECUCI","45.8457816","27.4290798"
"500","TEIUS","46.2060789","23.6753302"
"501","TELCIU","47.4306056","24.396925"
"502","TETILA-BUMBESTI JIU","45.1375895","23.3913383"
"503","TI MISOARA",NA,NA
"504","TIBANA, COM. TIBANA",NA,NA
"505","TIMISOARA","45.7538355","21.2257474"
"506","TINCA","46.7748171","21.931724"
"507","TIRGOVISTE","44.9267709","25.462816"
"508","TIRGU-JIU","45.0422947","23.2728118"
"509","TIRGU JIU","45.0422947","23.2728118"
"510","TIRGU MURES","46.5270171","24.5416449"
"511","TITU","44.662369","25.5738704"
"512","TOLICI, COM. PETRICANI",NA,NA
"513","TOMNATIC","45.9885699","20.6618594"
"514","TOMNATIC (COM. TOMNATIC)",NA,NA
"515","TOPLITA","45.6874874","22.7856625"
"516","TOPOLITA, COM. GRUMAZESTI",NA,NA
"517","TOPOLOVENI","44.8079716","25.0852836"
"518","TR.MAGURELE","43.7711561","24.8380914"
"519","TULCA","45.177518","28.8016348"
"520","TULCEA","45.177518","28.8016348"
"521","TURDA","46.5649706","23.7798424"
"522","TURNU MAGURELE","43.7518306","24.8691717"
"523","UILEACU DE CRIS","47.0812172","22.2128313"
"524","URICANI","47.156943","27.4861112"
"525","URLATI","44.991969","26.2326827"
"526","URZICENI","44.717002","26.6324066"
"527","V<U+0395>RTESCOIU, COM. V<U+0395>RTESCOIU",NA,NA
"528","VALEA CALUGAREASCA","44.9624249","26.1479928"
"529","VALEA LUNGA","46.1259241","24.045406"
"530","VALEA LUPULUI, COM. VALEA LUPULUI",NA,NA
"531","VALEA STRÂMBA","46.6926478","25.5950552"
"532","VARATEC, COM. AGAPIA",NA,NA
"533","VARSAND","46.6175797","21.3448937"
"534","VASLUI","46.4977648","27.8030854846854"
"535","VATRA-DORNEI","47.3469264","25.3557638"
"536","VATRA MOLDOVITEI, COM. VATRA MOLDOVITEI",NA,NA
"537","VICTORIA","-36.5986096","144.6780052"
"538","VIDELE","44.274599","25.5277294"
"539","VIILE SATU MARE","47.666287","22.9521311"
"540","VIISOARA","46.2961261","24.5990595"
"541","VINJU MARE",NA,NA
"542","VLADIMIRESCU","46.1638285","21.4063807"
"543","VOLUNTARI","44.4902779","26.1772794"
"544","VULCAN","45.3748642","23.2940874"
"545","ZABALA","-49.5781374","-75.476669241205"
"546","ZALAU","47.1819416","23.0562143"
"547","ZARNESTI","45.5594763","25.3154513"
"548","ZDRAPTI","46.1557337","22.8688126"
"549","ZIMNICEA","43.6567653","25.3650281"
